Charge,Start,Result
5.000000000000000000e+00,2.500000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,2.500000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,2.500000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,2.500000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,2.500000000000000000e+00,1.000000000000000000e+01
3.000000000000000000e+01,2.500000000000000000e+00,4.000000000000000000e+01
3.500000000000000000e+01,2.500000000000000000e+00,2.000000000000000000e+01
4.000000000000000000e+01,2.500000000000000000e+00,7.000000000000000000e+01
4.500000000000000000e+01,2.500000000000000000e+00,4.000000000000000000e+01
5.000000000000000000e+01,2.500000000000000000e+00,4.000000000000000000e+01
5.500000000000000000e+01,2.500000000000000000e+00,5.000000000000000000e+01
6.000000000000000000e+01,2.500000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+01,2.500000000000000000e+00,4.000000000000000000e+01
7.000000000000000000e+01,2.500000000000000000e+00,3.000000000000000000e+01
7.500000000000000000e+01,2.500000000000000000e+00,7.000000000000000000e+01
8.000000000000000000e+01,2.500000000000000000e+00,4.000000000000000000e+01
8.500000000000000000e+01,2.500000000000000000e+00,6.000000000000000000e+01
9.000000000000000000e+01,2.500000000000000000e+00,4.000000000000000000e+01
9.500000000000000000e+01,2.500000000000000000e+00,6.000000000000000000e+01
1.000000000000000000e+02,2.500000000000000000e+00,5.000000000000000000e+01
5.000000000000000000e+00,2.750000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,2.750000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,2.750000000000000000e+00,1.000000000000000000e+01
2.000000000000000000e+01,2.750000000000000000e+00,4.000000000000000000e+01
2.500000000000000000e+01,2.750000000000000000e+00,1.000000000000000000e+01
3.000000000000000000e+01,2.750000000000000000e+00,4.000000000000000000e+01
3.500000000000000000e+01,2.750000000000000000e+00,5.000000000000000000e+01
4.000000000000000000e+01,2.750000000000000000e+00,6.000000000000000000e+01
4.500000000000000000e+01,2.750000000000000000e+00,7.000000000000000000e+01
5.000000000000000000e+01,2.750000000000000000e+00,7.000000000000000000e+01
5.500000000000000000e+01,2.750000000000000000e+00,5.000000000000000000e+01
6.000000000000000000e+01,2.750000000000000000e+00,7.000000000000000000e+01
6.500000000000000000e+01,2.750000000000000000e+00,6.000000000000000000e+01
7.000000000000000000e+01,2.750000000000000000e+00,7.000000000000000000e+01
7.500000000000000000e+01,2.750000000000000000e+00,7.000000000000000000e+01
8.000000000000000000e+01,2.750000000000000000e+00,5.000000000000000000e+01
8.500000000000000000e+01,2.750000000000000000e+00,8.000000000000000000e+01
9.000000000000000000e+01,2.750000000000000000e+00,2.000000000000000000e+01
9.500000000000000000e+01,2.750000000000000000e+00,5.000000000000000000e+01
1.000000000000000000e+02,2.750000000000000000e+00,4.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+01
2.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+01
2.500000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+01
3.000000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+01
3.500000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+01
4.000000000000000000e+01,3.000000000000000000e+00,6.000000000000000000e+01
4.500000000000000000e+01,3.000000000000000000e+00,6.000000000000000000e+01
5.000000000000000000e+01,3.000000000000000000e+00,6.000000000000000000e+01
5.500000000000000000e+01,3.000000000000000000e+00,6.000000000000000000e+01
6.000000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+01
6.500000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+01
7.000000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+01
7.500000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+01
8.000000000000000000e+01,3.000000000000000000e+00,6.000000000000000000e+01
8.500000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+01
9.000000000000000000e+01,3.000000000000000000e+00,6.000000000000000000e+01
9.500000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+01
1.000000000000000000e+02,3.000000000000000000e+00,5.000000000000000000e+01
5.000000000000000000e+00,3.250000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,3.250000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,3.250000000000000000e+00,3.000000000000000000e+01
2.000000000000000000e+01,3.250000000000000000e+00,4.000000000000000000e+01
2.500000000000000000e+01,3.250000000000000000e+00,6.000000000000000000e+01
3.000000000000000000e+01,3.250000000000000000e+00,8.000000000000000000e+01
3.500000000000000000e+01,3.250000000000000000e+00,7.000000000000000000e+01
4.000000000000000000e+01,3.250000000000000000e+00,9.000000000000000000e+01
4.500000000000000000e+01,3.250000000000000000e+00,6.000000000000000000e+01
5.000000000000000000e+01,3.250000000000000000e+00,1.000000000000000000e+02
5.500000000000000000e+01,3.250000000000000000e+00,8.000000000000000000e+01
6.000000000000000000e+01,3.250000000000000000e+00,7.000000000000000000e+01
6.500000000000000000e+01,3.250000000000000000e+00,6.000000000000000000e+01
7.000000000000000000e+01,3.250000000000000000e+00,8.000000000000000000e+01
7.500000000000000000e+01,3.250000000000000000e+00,6.000000000000000000e+01
8.000000000000000000e+01,3.250000000000000000e+00,5.000000000000000000e+01
8.500000000000000000e+01,3.250000000000000000e+00,7.000000000000000000e+01
9.000000000000000000e+01,3.250000000000000000e+00,8.000000000000000000e+01
9.500000000000000000e+01,3.250000000000000000e+00,8.000000000000000000e+01
1.000000000000000000e+02,3.250000000000000000e+00,7.000000000000000000e+01
5.000000000000000000e+00,3.500000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,3.500000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,3.500000000000000000e+00,3.000000000000000000e+01
2.000000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+01
2.500000000000000000e+01,3.500000000000000000e+00,9.000000000000000000e+01
3.000000000000000000e+01,3.500000000000000000e+00,9.000000000000000000e+01
3.500000000000000000e+01,3.500000000000000000e+00,9.000000000000000000e+01
4.000000000000000000e+01,3.500000000000000000e+00,8.000000000000000000e+01
4.500000000000000000e+01,3.500000000000000000e+00,7.000000000000000000e+01
5.000000000000000000e+01,3.500000000000000000e+00,7.000000000000000000e+01
5.500000000000000000e+01,3.500000000000000000e+00,6.000000000000000000e+01
6.000000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+01
6.500000000000000000e+01,3.500000000000000000e+00,1.000000000000000000e+02
7.000000000000000000e+01,3.500000000000000000e+00,7.000000000000000000e+01
7.500000000000000000e+01,3.500000000000000000e+00,8.000000000000000000e+01
8.000000000000000000e+01,3.500000000000000000e+00,8.000000000000000000e+01
8.500000000000000000e+01,3.500000000000000000e+00,6.000000000000000000e+01
9.000000000000000000e+01,3.500000000000000000e+00,7.000000000000000000e+01
9.500000000000000000e+01,3.500000000000000000e+00,5.000000000000000000e+01
1.000000000000000000e+02,3.500000000000000000e+00,9.000000000000000000e+01
5.000000000000000000e+00,3.750000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,3.750000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,3.750000000000000000e+00,5.000000000000000000e+01
2.000000000000000000e+01,3.750000000000000000e+00,8.000000000000000000e+01
2.500000000000000000e+01,3.750000000000000000e+00,1.000000000000000000e+02
3.000000000000000000e+01,3.750000000000000000e+00,9.000000000000000000e+01
3.500000000000000000e+01,3.750000000000000000e+00,9.000000000000000000e+01
4.000000000000000000e+01,3.750000000000000000e+00,9.000000000000000000e+01
4.500000000000000000e+01,3.750000000000000000e+00,9.000000000000000000e+01
5.000000000000000000e+01,3.750000000000000000e+00,9.000000000000000000e+01
5.500000000000000000e+01,3.750000000000000000e+00,9.000000000000000000e+01
6.000000000000000000e+01,3.750000000000000000e+00,9.000000000000000000e+01
6.500000000000000000e+01,3.750000000000000000e+00,9.000000000000000000e+01
7.000000000000000000e+01,3.750000000000000000e+00,9.000000000000000000e+01
7.500000000000000000e+01,3.750000000000000000e+00,1.000000000000000000e+02
8.000000000000000000e+01,3.750000000000000000e+00,8.000000000000000000e+01
8.500000000000000000e+01,3.750000000000000000e+00,9.000000000000000000e+01
9.000000000000000000e+01,3.750000000000000000e+00,1.000000000000000000e+02
9.500000000000000000e+01,3.750000000000000000e+00,9.000000000000000000e+01
1.000000000000000000e+02,3.750000000000000000e+00,9.000000000000000000e+01
5.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,4.000000000000000000e+00,5.000000000000000000e+01
2.000000000000000000e+01,4.000000000000000000e+00,9.000000000000000000e+01
2.500000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+02
3.000000000000000000e+01,4.000000000000000000e+00,9.000000000000000000e+01
3.500000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+02
4.000000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+02
4.500000000000000000e+01,4.000000000000000000e+00,9.000000000000000000e+01
5.000000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+02
5.500000000000000000e+01,4.000000000000000000e+00,9.000000000000000000e+01
6.000000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+02
6.500000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+02
7.000000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+02
7.500000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+02
8.000000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+02
8.500000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+02
9.000000000000000000e+01,4.000000000000000000e+00,1.000000000000000000e+02
9.500000000000000000e+01,4.000000000000000000e+00,9.000000000000000000e+01
1.000000000000000000e+02,4.000000000000000000e+00,1.000000000000000000e+02
5.000000000000000000e+00,4.250000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,4.250000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,4.250000000000000000e+00,5.000000000000000000e+01
2.000000000000000000e+01,4.250000000000000000e+00,1.000000000000000000e+02
2.500000000000000000e+01,4.250000000000000000e+00,1.000000000000000000e+02
3.000000000000000000e+01,4.250000000000000000e+00,1.000000000000000000e+02
3.500000000000000000e+01,4.250000000000000000e+00,1.000000000000000000e+02
4.000000000000000000e+01,4.250000000000000000e+00,9.000000000000000000e+01
4.500000000000000000e+01,4.250000000000000000e+00,1.000000000000000000e+02
5.000000000000000000e+01,4.250000000000000000e+00,1.000000000000000000e+02
5.500000000000000000e+01,4.250000000000000000e+00,9.000000000000000000e+01
6.000000000000000000e+01,4.250000000000000000e+00,1.000000000000000000e+02
6.500000000000000000e+01,4.250000000000000000e+00,9.000000000000000000e+01
7.000000000000000000e+01,4.250000000000000000e+00,1.000000000000000000e+02
7.500000000000000000e+01,4.250000000000000000e+00,1.000000000000000000e+02
8.000000000000000000e+01,4.250000000000000000e+00,1.000000000000000000e+02
8.500000000000000000e+01,4.250000000000000000e+00,1.000000000000000000e+02
9.000000000000000000e+01,4.250000000000000000e+00,1.000000000000000000e+02
9.500000000000000000e+01,4.250000000000000000e+00,1.000000000000000000e+02
1.000000000000000000e+02,4.250000000000000000e+00,1.000000000000000000e+02
5.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,4.500000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,4.500000000000000000e+00,4.000000000000000000e+01
2.000000000000000000e+01,4.500000000000000000e+00,8.000000000000000000e+01
2.500000000000000000e+01,4.500000000000000000e+00,1.000000000000000000e+02
3.000000000000000000e+01,4.500000000000000000e+00,1.000000000000000000e+02
3.500000000000000000e+01,4.500000000000000000e+00,1.000000000000000000e+02
4.000000000000000000e+01,4.500000000000000000e+00,1.000000000000000000e+02
4.500000000000000000e+01,4.500000000000000000e+00,1.000000000000000000e+02
5.000000000000000000e+01,4.500000000000000000e+00,1.000000000000000000e+02
5.500000000000000000e+01,4.500000000000000000e+00,9.000000000000000000e+01
6.000000000000000000e+01,4.500000000000000000e+00,1.000000000000000000e+02
6.500000000000000000e+01,4.500000000000000000e+00,1.000000000000000000e+02
7.000000000000000000e+01,4.500000000000000000e+00,1.000000000000000000e+02
7.500000000000000000e+01,4.500000000000000000e+00,9.000000000000000000e+01
8.000000000000000000e+01,4.500000000000000000e+00,1.000000000000000000e+02
8.500000000000000000e+01,4.500000000000000000e+00,1.000000000000000000e+02
9.000000000000000000e+01,4.500000000000000000e+00,9.000000000000000000e+01
9.500000000000000000e+01,4.500000000000000000e+00,1.000000000000000000e+02
1.000000000000000000e+02,4.500000000000000000e+00,1.000000000000000000e+02
5.000000000000000000e+00,4.750000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,4.750000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,4.750000000000000000e+00,7.000000000000000000e+01
2.000000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
2.500000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
3.000000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
3.500000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
4.000000000000000000e+01,4.750000000000000000e+00,9.000000000000000000e+01
4.500000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
5.000000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
5.500000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
6.000000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
6.500000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
7.000000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
7.500000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
8.000000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
8.500000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
9.000000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
9.500000000000000000e+01,4.750000000000000000e+00,1.000000000000000000e+02
